token	lemma	pos	morph	Dis	treated
Passeris	patior	VER	Numb=Sing|Person=2	_	Passeris
appelatio	appelatio	NOMcom	Case=Nom|Numb=Sing	_	appelatio
Passer	passer	NOMcom	Case=Voc|Numb=Sing	_	Passer
delitiae	delitia	NOMcom	Case=Gen|Numb=Sing	_	delitiae
meae	meus	PROpos	Case=Gen|Numb=Sing|Gend=Fem	_	meae
puellae	puella	NOMcom	Case=Gen|Numb=Sing	_	puellae
Qui	qui1	PROrel	Case=Nom|Numb=Sing|Gend=Masc	1	Qui
cum	cum3	CONsub	MORPH=empty	3	cum
ludere	ludo	VER	Mood=Inf|Tense=Pres|Voice=Act	_	ludere
quem	qui1	PROrel	Case=Acc|Numb=Sing|Gend=Masc	1	quem
in	in	PRE	MORPH=empty	_	in
sinu	sinus	NOMcom	Case=Abl|Numb=Sing	_	sinu
tenere	teneo	VER	Mood=Inf|Tense=Pres|Voice=Act	_	tenere
Quoi	qui1	PROrel	Case=Dat|Numb=Sing|Gend=Com	1	Quoi
primum	primum	ADJord	Case=Acc|Gend=MascNeut|Deg=Sup	_	primum
digitum	digitus	NOMcom	Case=Acc|Numb=Sing	_	digitum
dare	do	VER	Mood=Inf|Tense=Pres|Voice=Act	_	dare
appententi	appententer	VER	Case=Dat|Numb=Sing|Gend=Masc	_	appententi
Atque	atque1	CONcoo	MORPH=empty	1	Atque
acris	acer2	ADJqua	Case=Acc|Numb=Plur|Gend=MascFem|Deg=Pos	2	acris
solet	soleo	VER	Numb=Sing|Mood=Ind|Tense=Pres|Voice=SemDep|Person=3	_	solet
incitare	incito1	VER	Mood=Inf|Tense=Pres|Voice=Act	1	incitare
morsus	morsus	NOMcom	Case=Acc|Numb=Plur	_	morsus
Cum	cum2	PRE	MORPH=empty	3	Cum
desyderio	desyderium	NOMcom	Case=Dat|Numb=Sing	_	desyderio
meo	meus	PROpos	Case=Dat|Numb=Sing|Gend=MascNeut	_	meo
nitenti	nitens	ADJqua	Case=Dat|Numb=Sing|Gend=Com|Deg=Pos|Mood=Par|Tense=Pres|Voice=Dep	2	nitenti
Charum	Charus	NOMpro	Case=Acc|Numb=Sing	_	Charum
nescio	nescio	VER	Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=1	_	nescio
quid	quis1	PROint	Case=Acc|Numb=Sing|Gend=Neut	1	quid
libet	libet	VER	Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=3	_	libet
iocari	iocor	VER	Mood=Inf|Tense=Pres|Voice=Dep	_	iocari
Insolatiolum	insolatiolus	NOMcom	Case=Acc|Numb=Sing	_	Insolatiolum
sui	suus	PROpos.ref	Case=Gen|Numb=Sing|Gend=MascNeut	1	sui
doloris	dolor	NOMcom	Case=Gen|Numb=Sing	_	doloris
Credo	credo	VER	Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=1	_	Credo
ut	ut4	CONsub	MORPH=empty	4	ut
quum	cum3	ADVrel	Case=Acc	3	quum
gravis	grauis	ADJqua	Case=Nom|Numb=Sing|Gend=MascFem|Deg=Pos	_	grauis
acquiescat	acquiesco	VER	Numb=Sing|Mood=Sub|Tense=Pres|Voice=Act|Person=3	_	acquiescat
ardor	ardor	NOMcom	Case=Nom|Numb=Sing	_	ardor
Tecum	tu	PROper	Case=Abl|Numb=Sing	_	Tecum
{Tecum}	cum3	CON	MORPH=empty	_	Tecum
ludere	ludo	VER	Mood=Inf|Tense=Pres|Voice=Act	_	ludere
sicut	sicut1	ADVrel	MORPH=empty	1	sicut
ipsa	ipse	PROdem	Case=Nom|Numb=Sing|Gend=Fem	_	ipsa
possem	possum1	VER	Numb=Sing|Mood=Sub|Tense=Impa|Voice=Act|Person=1	1	possem
Et	et2	CONcoo	MORPH=empty	2	Et
tristis	tristis	ADJqua	Case=Gen|Numb=Plur|Gend=MascFem|Deg=Pos	_	tristis
animi	animus	NOMcom	Case=Gen|Numb=Sing	_	animi
levare	leuo1	VER	Mood=Inf|Tense=Pres|Voice=Act	1	leuare
curas	cura	NOMcom	Case=Acc|Numb=Plur	_	curas
