token	Case	Mood	Numb	Person	Tense	lemma	pos
Passeris	Nom	_	Sing	_	_	passeris	NOMpro
appelatio	Nom	_	Sing	_	_	appelatio	NOMcom
Passer	Nom	_	Sing	_	_	passer	NOMpro
delitiae	Dat	_	Sing	_	_	delitia	NOMcom
meae	Dat	_	Sing	_	_	meus	PROpos
puellae	Gen	_	Plur	_	_	puella	NOMcom
Qui	Nom	_	Sing	_	_	quinus	NOMpro
cum	_	_	_	_	_	cum	PRE
ludere	_	Inf	_	_	Pres	ludo	VER
quem	Acc	_	Sing	_	_	qui	PROrel
in	_	_	_	_	_	in	PRE
sinu	Abl	_	Sing	_	_	sinus	NOMcom
tenere	_	Inf	_	_	Pres	teneo	VER
Quoi	Gen	_	Sing	_	_	quo	NOMpro
primum	_	_	_	_	_	primum	ADJadv.ord
digitum	Acc	_	Sing	_	_	digitus	NOMcom
dare	_	Inf	_	_	Pres	do	VER
appententi	Dat	Par	Sing	_	Pres	appentens	VER
Atque	Voc	_	_	_	_	atque	NOMpro
acris	Acc	_	Plur	_	_	acer	ADJqua
solet	_	Ind	Sing	3	Pres	soleo	VER
incitare	_	Inf	_	_	Pres	incito	VER
morsus	Acc	_	Plur	_	_	morsus	NOMcom
Cum	Acc	_	Sing	_	_	cum	NOMpro
desyderio	Abl	_	Sing	_	_	desyderium	NOMcom
meo	Dat	_	Sing	_	_	meus	PROpos
nitenti	Dat	Par	Sing	_	Pres	nitor	VER
Charum	Acc	_	Sing	_	_	charus	NOMpro
nescio	_	Ind	Sing	1	Pres	nescio	VER
quid	Acc	_	Sing	_	_	quis	PROint
libet	_	Ind	Sing	3	Pres	libet	VER
iocari	_	Inf	_	_	Pres	iocor	VER
Insolatiolum	Acc	_	Sing	_	_	insolatiola	NOMpro
sui	Gen	_	Sing	_	_	suus	PROpos.ref
doloris	Gen	_	Sing	_	_	dolor	NOMcom
Credo	Nom	_	Sing	_	_	credo	NOMpro
ut	_	_	_	_	_	ut	CONsub
quum	_	_	Sing	_	_	qui	PROrel
gravis	Nom	_	Plur	_	_	graeis	ADJqua
acquiescat	_	Sub	Sing	3	Pres	acquiesco	VER
ardor	Nom	_	Sing	_	_	ardor	NOMcom
Tecum	Acc	_	Sing	_	_	tecus	NOMpro
ludere	_	Inf	_	_	Pres	ludo	VER
sicut	_	_	_	_	_	sicut	ADVrel
ipsa	Nom	_	Sing	_	_	ipse	PROdem
possem	_	Sub	Sing	1	Impa	possum	VER
Et	_	_	_	_	_	et	ADV
tristis	Gen	_	Sing	_	_	tristis	ADJqua
animi	Gen	_	Sing	_	_	animus	NOMcom
levare	_	Inf	_	_	Pres	leuo	VER
curas	Acc	_	Plur	_	_	cura	NOMcom
