token	lemma	pos	morph	Dis	treated
fletus	fletus	NOMcom	Case=Nom|Numb=Plur	_	fletus
passeris	patior	VER	Numb=Sing|Person=2	_	passeris
lesbie	lesbie	NOMcom	Case=Voc|Numb=Sing	_	lesbie
Passer	passer	NOMcom	Case=Voc|Numb=Sing	_	Passer
delicie	delicie	NOMcom	Numb=Sing	1	delicie
mee	ego	PROper	Case=Acc|Numb=Sing	_	mee
puelle	puella	NOMcom	Case=Voc|Numb=Sing	_	puelle
Qui	qui1	PROrel	Case=Nom|Numb=Sing|Gend=Masc	1	Qui
cum	cum3	CONsub	MORPH=empty	3	cum
ludere	ludo	VER	Mood=Inf|Tense=Pres|Voice=Act	_	ludere
quem	qui1	PROrel	Case=Acc|Numb=Sing|Gend=Masc	1	quem
in	in	PRE	MORPH=empty	_	in
sinu	sinus	NOMcom	Case=Abl|Numb=Sing	_	sinu
tenere	teneo	VER	Mood=Inf|Tense=Pres|Voice=Act	_	tenere
Qui	qui1	PROrel	Case=Nom|Numb=Sing|Gend=Masc	1	Qui
primum	primum	ADJord	Case=Acc|Gend=MascNeut|Deg=Sup	_	primum
digitum	digitus	NOMcom	Case=Acc|Numb=Sing	_	digitum
dare	do	VER	Mood=Inf|Tense=Pres|Voice=Act	_	dare
at	at2	CONcoo	MORPH=empty	2	at
patenti	patens	ADJqua	Case=Dat|Numb=Sing|Gend=Com|Deg=Pos	_	patenti
Et	et2	CONcoo	MORPH=empty	2	Et
acris	acer2	ADJqua	Case=Acc|Numb=Plur|Gend=MascFem|Deg=Pos	2	acris
solet	soleo	VER	Numb=Sing|Mood=Ind|Tense=Pres|Voice=SemDep|Person=3	_	solet
incitare	incito1	VER	Mood=Inf|Tense=Pres|Voice=Act	1	incitare
morsus	morsus	NOMcom	Case=Acc|Numb=Plur	_	morsus
Cum	cum3	CONsub	MORPH=empty	3	Cum
desiderio	desiderium	NOMcom	Case=Dat|Numb=Sing	_	desiderio
meo	meus	PROpos	Case=Dat|Numb=Sing|Gend=MascNeut	_	meo
nitenti	nitens	ADJqua	Case=Dat|Numb=Sing|Gend=Com|Deg=Pos|Mood=Par|Tense=Pres|Voice=Dep	2	nitenti
Carum	carus	ADJqua	Case=Acc|Numb=Sing|Gend=MascNeut|Deg=Pos	_	Carum
nescio	nescio	VER	Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=1	_	nescio
quid	quis1	PROint	Case=Acc|Numb=Sing|Gend=Neut	1	quid
libet	libet	VER	Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=3	_	libet
iocari	iocor	VER	Mood=Inf|Tense=Pres|Voice=Dep	_	iocari
Et	et2	CONcoo	MORPH=empty	2	Et
solaciolum	solaciolum	NOMcom	Case=Acc|Numb=Sing	_	solaciolum
sui	suus	PROpos.ref	Case=Gen|Numb=Sing|Gend=MascNeut	1	sui
doloris	dolor	NOMcom	Case=Gen|Numb=Sing	_	doloris
Credo	credo	VER	Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=1	_	Credo
ut	ut4	CONsub	MORPH=empty	4	ut
cum	cum3	CONsub	MORPH=empty	3	cum
gravis	grauis	ADJqua	Case=Nom|Numb=Sing|Gend=MascFem|Deg=Pos	_	grauis
adquiescet	acquiesco	VER	Numb=Sing|Mood=Ind|Tense=Fut|Voice=Act|Person=3	_	adquiescet
ardor	ardor	NOMcom	Case=Nom|Numb=Sing	_	ardor
Tecum	tu	PROper	Case=Abl|Numb=Sing	_	Tecum
{Tecum}	cum3	CON	MORPH=empty	_	Tecum
luderem	ludo	VER	Numb=Sing|Mood=Sub|Tense=Impa|Voice=Act|Person=1	_	luderem
sicut	sicut1	ADVrel	MORPH=empty	1	sicut
ipsa	ipse	PROdem	Case=Nom|Numb=Sing|Gend=Fem	_	ipsa
possem	possum1	VER	Numb=Sing|Mood=Sub|Tense=Impa|Voice=Act|Person=1	1	possem
Et	et2	CONcoo	MORPH=empty	2	Et
tristis	tristis	ADJqua	Case=Acc|Numb=Plur|Gend=MascFem|Deg=Pos	_	tristis
animi	animus	NOMcom	Case=Gen|Numb=Sing	_	animi
levare	leuo1	VER	Mood=Inf|Tense=Pres|Voice=Act	1	leuare
curas	cura	NOMcom	Case=Acc|Numb=Plur	_	curas
